[Epoch 1] Avg Loss=9.4987, Learning Rate=1.00e-04
[Epoch 2] Avg Loss=4.4323, Learning Rate=1.00e-04
[Epoch 3] Avg Loss=2.8173, Learning Rate=1.00e-04
[Epoch 4] Avg Loss=2.0045, Learning Rate=1.00e-04
[Epoch 5] Avg Loss=1.5641, Learning Rate=1.00e-04
[Epoch 6] Avg Loss=1.3005, Learning Rate=1.00e-04
[Epoch 7] Avg Loss=1.1363, Learning Rate=1.00e-04
[Epoch 8] Avg Loss=1.0095, Learning Rate=1.00e-04
[Epoch 9] Avg Loss=0.9028, Learning Rate=1.00e-04
[Epoch 10] Avg Loss=0.8500, Learning Rate=1.00e-04
[Epoch 11] Avg Loss=0.7833, Learning Rate=1.00e-04
[Epoch 12] Avg Loss=0.7344, Learning Rate=1.00e-04
[Epoch 13] Avg Loss=0.6915, Learning Rate=1.00e-04
[Epoch 14] Avg Loss=0.6667, Learning Rate=1.00e-04
[Epoch 15] Avg Loss=0.6336, Learning Rate=1.00e-04
[Epoch 16] Avg Loss=0.6001, Learning Rate=1.00e-04
[Epoch 17] Avg Loss=0.5721, Learning Rate=1.00e-04
[Epoch 18] Avg Loss=0.5439, Learning Rate=1.00e-04
[Epoch 19] Avg Loss=0.5065, Learning Rate=1.00e-04
[Epoch 20] Avg Loss=0.4896, Learning Rate=1.00e-04
[Epoch 21] Avg Loss=0.4684, Learning Rate=1.00e-04
[Epoch 22] Avg Loss=0.4526, Learning Rate=1.00e-04
[Epoch 23] Avg Loss=0.4354, Learning Rate=1.00e-04
[Epoch 24] Avg Loss=0.4254, Learning Rate=1.00e-04
[Epoch 25] Avg Loss=0.4068, Learning Rate=1.00e-04
[Epoch 26] Avg Loss=0.4047, Learning Rate=1.00e-04
[Epoch 27] Avg Loss=0.4013, Learning Rate=1.00e-04
[Epoch 28] Avg Loss=0.3796, Learning Rate=1.00e-04
[Epoch 29] Avg Loss=0.3769, Learning Rate=1.00e-04
[Epoch 30] Avg Loss=0.3735, Learning Rate=1.00e-04
[Epoch 31] Avg Loss=0.3716, Learning Rate=1.00e-04
[Epoch 32] Avg Loss=0.3608, Learning Rate=1.00e-04
[Epoch 33] Avg Loss=0.3443, Learning Rate=1.00e-04
[Epoch 34] Avg Loss=0.3451, Learning Rate=1.00e-04
[Epoch 35] Avg Loss=0.3406, Learning Rate=1.00e-04
[Epoch 36] Avg Loss=0.3398, Learning Rate=1.00e-04
[Epoch 37] Avg Loss=0.3291, Learning Rate=1.00e-04
[Epoch 38] Avg Loss=0.3244, Learning Rate=1.00e-04
[Epoch 39] Avg Loss=0.3221, Learning Rate=1.00e-04
[Epoch 40] Avg Loss=0.3274, Learning Rate=1.00e-04
[Epoch 41] Avg Loss=0.3152, Learning Rate=1.00e-04
[Epoch 42] Avg Loss=0.3117, Learning Rate=1.00e-04
[Epoch 43] Avg Loss=0.3079, Learning Rate=1.00e-04
[Epoch 44] Avg Loss=0.2995, Learning Rate=1.00e-04
[Epoch 45] Avg Loss=0.3018, Learning Rate=1.00e-04
[Epoch 46] Avg Loss=0.2902, Learning Rate=1.00e-04
[Epoch 47] Avg Loss=0.2967, Learning Rate=1.00e-04
[Epoch 48] Avg Loss=0.2875, Learning Rate=1.00e-04
[Epoch 49] Avg Loss=0.2889, Learning Rate=1.00e-04
[Epoch 50] Avg Loss=0.2801, Learning Rate=1.00e-04
[Epoch 51] Avg Loss=0.2752, Learning Rate=1.00e-04
[Epoch 52] Avg Loss=0.2764, Learning Rate=1.00e-04
[Epoch 53] Avg Loss=0.2748, Learning Rate=1.00e-04
[Epoch 54] Avg Loss=0.2732, Learning Rate=1.00e-04
[Epoch 55] Avg Loss=0.2671, Learning Rate=1.00e-04
[Epoch 56] Avg Loss=0.2683, Learning Rate=1.00e-04
[Epoch 57] Avg Loss=0.2585, Learning Rate=1.00e-04
[Epoch 58] Avg Loss=0.2622, Learning Rate=1.00e-04
[Epoch 59] Avg Loss=0.2610, Learning Rate=1.00e-04
[Epoch 60] Avg Loss=0.2577, Learning Rate=1.00e-04
