评分维度,嵌入维度,相关系数
property_manmade_mean,122,-0.4700367812404878
property_manmade_mean,17,0.4461605098231009
property_manmade_mean,113,0.4403346918670272
property_manmade_mean,3,-0.43132399638639896
property_manmade_mean,116,-0.40545410131315335
property_precious_mean,125,0.3765433548338852
property_precious_mean,93,0.3105135002999878
property_precious_mean,111,-0.2921288928139736
property_precious_mean,109,0.2644890633627063
property_precious_mean,16,-0.2592013301722931
property_lives_mean,122,0.44639779790192957
property_lives_mean,17,-0.44011294822056507
property_lives_mean,3,0.42844961422071076
property_lives_mean,120,0.41025247685115485
property_lives_mean,109,0.40422379522845053
property_heavy_mean,113,0.5137807734956353
property_heavy_mean,65,-0.4037595130688883
property_heavy_mean,94,0.39759699868138487
property_heavy_mean,50,0.3873675166691243
property_heavy_mean,107,-0.37768466371611353
property_natural_mean,113,-0.47603889152108864
property_natural_mean,55,0.4496585441225002
property_natural_mean,122,0.43954606262893514
property_natural_mean,73,-0.38535007400329035
property_natural_mean,3,0.3839949144513591
property_moves_mean,36,-0.41396657526037284
property_moves_mean,63,-0.4000861797689619
property_moves_mean,50,0.39476308079702715
property_moves_mean,109,0.3784360923343219
property_moves_mean,17,-0.34646578019089286
property_grasp_mean,127,0.4538088469290339
property_grasp_mean,50,-0.4119366045209226
property_grasp_mean,94,-0.40745876585765356
property_grasp_mean,2,-0.3969274707631118
property_grasp_mean,65,0.3915658461073074
property_hold_mean,127,0.43680593207071283
property_hold_mean,94,-0.428509513980672
property_hold_mean,50,-0.4232595106519859
property_hold_mean,113,-0.4175050923554624
property_hold_mean,65,0.41110392980693866
property_be-moved_mean,2,-0.4651759811072733
property_be-moved_mean,50,-0.40803355686025755
property_be-moved_mean,127,0.3924406343240989
property_be-moved_mean,94,-0.37908151746029106
property_be-moved_mean,113,-0.37639891228759964
property_pleasant_mean,57,-0.29576443684900766
property_pleasant_mean,6,0.29544719058456814
property_pleasant_mean,28,0.23173912371370595
property_pleasant_mean,105,-0.2251163564122813
property_pleasant_mean,40,0.2173180353001141
